Order_ID,Month,Category,Region,Sales,Profit,Quantity,Discount
ORD1000,Febuary,Groceries,TamilNadu,223.95,118.5,7,0.11
ORD1001,October,Novels,Assam,459.04,-15.99,9,0.37
ORD1002,June,Pixel Phone,Assam,897.8,165.56,9,0.47
ORD1003,July,Groceries,Gujrat,926.5,499.89,7,0.47
ORD1004,May,Furniture,Delhi,1805.83,446.36,2,0.18
ORD1005,January,Groceries,TamilNadu,115.32,454.88,5,0.49
ORD1006,April,Groceries,Assam,1279.94,270.76,3,0.32
ORD1007,August,Pixel Phone,Delhi,65.05,-92.35,2,0.19
ORD1008,January,Groceries,Assam,149.25,402.64,6,0.16
ORD1009,April,Dress,Delhi,537.6,316.46,7,0.28
ORD1010,August,Groceries,Delhi,774.2,136.6,7,0.3
ORD1011,June,Pixel Phone,TamilNadu,614.59,483.01,1,0.12
ORD1012,September,Furniture,Assam,1548.81,26.82,6,0.26
ORD1013,September,Dress,TamilNadu,1425.97,-43.13,6,0.34
ORD1014,March,Dress,TamilNadu,1612.54,252.11,8,0.27
ORD1015,December,Dress,Delhi,1137.42,196.21,8,0.38
ORD1016,September,Groceries,TamilNadu,1547.38,259.16,3,0.27
ORD1017,August,Novels,TamilNadu,1700.23,311.89,6,0.35
ORD1018,Febuary,Groceries,TamilNadu,71.93,102.49,7,0.35
ORD1019,July,Dress,TamilNadu,674.59,401.46,2,0.13
ORD1020,March,Furniture,Delhi,1182.77,-86.65,4,0.05
ORD1021,April,Novels,Gujrat,960.4,293.72,9,0.23
ORD1022,January,Groceries,Gujrat,1447.48,45.31,6,0.33
ORD1023,January,Groceries,Delhi,767.41,294.25,6,0.41
ORD1024,June,Groceries,TamilNadu,1237.73,128.18,9,0.16
ORD1025,July,Furniture,Delhi,1245.1,368.86,4,0.36
ORD1026,May,Pixel Phone,Delhi,1251.9,413.31,2,0.38
ORD1027,September,Dress,Gujrat,1651.66,64.0,3,0.17
ORD1028,November,Dress,Gujrat,1759.28,250.65,4,0.07
ORD1029,May,Dress,Delhi,1170.17,123.06,9,0.37
ORD1030,August,Groceries,Gujrat,1645.37,179.19,4,0.32
ORD1031,Febuary,Groceries,Delhi,384.82,381.5,8,0.05
ORD1032,June,Furniture,Assam,1227.7,-76.87,7,0.19
ORD1033,January,Dress,Gujrat,1444.14,77.74,1,0.45
ORD1034,April,Furniture,Assam,1197.36,289.21,4,0.38
ORD1035,October,Pixel Phone,Delhi,1685.63,13.92,5,0.48
ORD1036,May,Groceries,Assam,1812.33,42.12,2,0.39
ORD1037,January,Pixel Phone,Delhi,1653.4,52.81,9,0.48
ORD1038,October,Groceries,TamilNadu,1009.7,420.42,6,0.03
ORD1039,May,Dress,Delhi,1242.31,301.94,2,0.27
ORD1040,November,Groceries,TamilNadu,681.39,80.56,8,0.27
ORD1041,Febuary,Furniture,TamilNadu,1426.97,347.96,7,0.15
ORD1042,Febuary,Novels,Assam,1426.46,471.34,1,0.26
ORD1043,November,Pixel Phone,Delhi,872.95,490.55,2,0.33
ORD1044,Febuary,Novels,Gujrat,1885.22,26.78,6,0.32
ORD1045,November,Groceries,TamilNadu,1962.71,36.87,8,0.5
ORD1046,Febuary,Groceries,Delhi,1154.89,204.56,6,0.24
ORD1047,November,Pixel Phone,Gujrat,1693.07,19.9,4,0.27
ORD1048,March,Groceries,Assam,290.85,-17.81,9,0.45
ORD1049,November,Dress,TamilNadu,604.82,201.33,3,0.19
ORD1050,October,Groceries,Assam,966.07,32.84,1,0.03
ORD1051,May,Dress,TamilNadu,1284.84,140.76,5,0.09
ORD1052,July,Groceries,Assam,1191.34,0.15,6,0.29
ORD1053,March,Pixel Phone,Delhi,1315.78,341.29,1,0.5
ORD1054,January,Pixel Phone,Gujrat,1051.17,175.81,3,0.42
ORD1055,July,Pixel Phone,TamilNadu,644.89,468.11,6,0.45
ORD1056,December,Dress,TamilNadu,927.66,39.15,4,0.33
ORD1057,March,Furniture,TamilNadu,432.51,209.88,2,0.4
ORD1058,June,Novels,TamilNadu,532.39,468.65,6,0.45
ORD1059,December,Pixel Phone,Assam,231.53,416.54,8,0.04
ORD1060,October,Furniture,Gujrat,131.99,125.61,9,0.45
ORD1061,May,Pixel Phone,Assam,1215.83,432.02,2,0.47
ORD1062,November,Groceries,Gujrat,1386.17,-40.95,5,0.49
ORD1063,March,Pixel Phone,TamilNadu,1362.52,-84.34,8,0.15
ORD1064,December,Groceries,Delhi,1623.77,450.52,3,0.45
ORD1065,September,Novels,Assam,1315.11,4.46,8,0.35
ORD1066,April,Pixel Phone,Assam,1488.84,354.72,1,0.04
ORD1067,December,Pixel Phone,Assam,1444.94,330.12,6,0.42
ORD1068,April,Dress,TamilNadu,276.83,199.74,2,0.19
ORD1069,October,Novels,TamilNadu,1878.33,133.14,7,0.32
ORD1070,August,Furniture,Assam,77.48,233.58,3,0.07
ORD1071,December,Groceries,Delhi,1829.59,206.65,7,0.16
ORD1072,Febuary,Novels,Gujrat,952.41,15.79,1,0.08
ORD1073,May,Furniture,TamilNadu,393.05,96.66,1,0.05
ORD1074,June,Pixel Phone,TamilNadu,751.13,270.71,1,0.26
ORD1075,October,Furniture,Gujrat,1570.02,461.85,8,0.36
ORD1076,August,Groceries,TamilNadu,1308.06,0.05,3,0.27
